datetime,open,high,low,close,volume
2025-03-04 06:00:00,137.9,138.74,136.55,136.73,934647.0
2025-03-04 07:00:00,136.74,137.35,135.56,135.98,1151390.0
2025-03-04 08:00:00,135.98,138.26,135.51,137.64,1470442.0
2025-03-04 09:00:00,137.65,138.16,135.77,135.82,1065789.0
2025-03-04 10:00:00,135.81,137.48,134.51,136.97,1359055.0
2025-03-04 11:00:00,136.97,138.51,136.73,136.89,993218.0
2025-03-04 12:00:00,136.88,137.41,135.29,136.27,1071312.0
2025-03-04 13:00:00,136.28,136.31,132.55,133.76,2635275.0
2025-03-04 14:00:00,133.77,143.26,132.86,136.58,6535466.0
2025-03-04 15:00:00,136.58,138.63,133.39,138.5,3985468.0
2025-03-04 16:00:00,138.51,138.89,130.52,136.19,3868858.0
2025-03-04 17:00:00,136.2,141.19,135.96,140.76,2968151.0
2025-03-04 18:00:00,140.76,142.92,139.83,142.56,1629536.0
2025-03-04 19:00:00,142.55,144.75,141.03,143.04,3251167.0
2025-03-04 20:00:00,143.04,144.5,141.47,141.99,1744087.0
2025-03-04 21:00:00,142.0,146.8,141.58,145.5,1569797.0
2025-03-04 22:00:00,145.5,145.87,143.48,143.66,833318.0
2025-03-04 23:00:00,143.65,145.38,143.1,144.7,909136.0
2025-03-05 00:00:00,144.69,145.09,142.57,142.95,879393.0
2025-03-05 01:00:00,142.96,145.11,142.04,145.1,847819.0
2025-03-05 02:00:00,145.11,145.5,143.23,144.51,903212.0
2025-03-05 03:00:00,144.52,145.28,141.66,141.77,766251.0
2025-03-05 04:00:00,141.78,142.49,140.75,141.97,1030676.0
2025-03-05 05:00:00,141.98,142.67,141.5,142.12,613310.0
2025-03-05 06:00:00,142.12,143.82,140.82,143.53,765523.0
2025-03-05 07:00:00,143.52,144.06,141.93,142.8,705123.0
2025-03-05 08:00:00,142.8,144.63,142.65,143.89,767719.0
2025-03-05 09:00:00,143.9,146.5,143.66,145.63,1055489.0
2025-03-05 10:00:00,145.65,149.66,145.46,148.45,2140676.0
2025-03-05 11:00:00,148.45,148.87,146.76,147.0,1101505.0
2025-03-05 12:00:00,147.02,149.17,146.03,146.67,1473848.0
2025-03-05 13:00:00,146.67,147.27,143.12,143.74,1948464.0
2025-03-05 14:00:00,143.74,144.02,141.77,142.08,1825218.0
2025-03-05 15:00:00,142.08,144.36,140.21,141.55,2109426.0
2025-03-05 16:00:00,141.55,142.81,140.12,141.99,1466968.0
2025-03-05 17:00:00,141.98,144.39,141.79,142.52,1252399.0
2025-03-05 18:00:00,142.51,145.06,141.68,144.43,1258632.0
2025-03-05 19:00:00,144.44,146.4,144.18,144.71,855513.0
2025-03-05 20:00:00,144.72,145.97,144.69,145.52,465761.0
2025-03-05 21:00:00,145.53,145.69,143.79,144.98,616202.0
2025-03-05 22:00:00,144.98,146.48,144.88,145.91,466303.0
2025-03-05 23:00:00,145.91,146.7,145.3,146.16,416817.0
